ItemCode,ItemName,Categoria,U_Divisi,U_Linea,U_Area,Lote,FechAdmis,Rango_Fechas,Cantidad,Costo,ValorStockTotal,CodBodega,NomBodega,Ancho,Peso,SubClasif,Proveedor,Observaciones,ClaseExpedicion,UMInv,Base_Mt2,Base_MT3,dias_recep,Fec_ult_vta,Fec_ult_consumo,Fecha_Ult_recep,U_Vendedor,U_Stock_minimo,U_Stock_reposicion,CardCode,CardName,ClienteItem,PlannedQty,CmpltQty,Comprometido,QtyUltFact
118,CINTA OPP ROJA 24MM X 40 MTS,PROD. INSUMOS,,,,,1900-01-01,Error en procesamiento,715.0,308.8741,220845.0,"01, 02, 03, 04, 05, 06, 08, 10, 17, 20, 21, 35, 38, 42, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54","BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS RECHAZADOS, MPRIMA SOBRE STOCK, DIFERENCIAS DE INV. P.T., BODEGA CLIENTES, POSCOSECHA MUESTRAS, TINTAS, BODEGA GESLOG INTEGRAL, RRHH, BODEGA DURAMET, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, SINCLAIR STOCK, POSCOSECHA, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, PERU STOCK ENVIO, ST IMPRESORAS Y EQUIPOS, BODEGA ESQUIM, GESLOG PUDAHUEL",0.0,0.0,,- Ningún fabricante -,,Consignacion,UNIDAD,,,86.0,,2025-10-31,2025-08-31,,100.0,0.0,,,,0.0,0.0,0.0,0.0
12826,CABEZAL ETIQUETADOR PACKLAB MODULO 20,INDUST. APLICADOR,,,,,1900-01-01,Error en procesamiento,0.0,0.0,0.0,"54, 53, 52, 51, 50, 49, 48, 46, 45, 44, 42, 40, 38, 36, 35, 34, 21, 22, 24, 26, 20, 19, 17, 18, 10, 09, 11, 12, 13, 14, 15, 16, 08, 07, 06, 05, 04, 03, 02, 01","GESLOG PUDAHUEL, BODEGA ESQUIM, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, POSCOSECHA, SINCLAIR STOCK, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, BODEGA DURAMET, ST CONCEPCION, RRHH, CONTAINER, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, TINTAS, SIEGWERK, SALDO MATERIAS PRIMAS, OBSOLETOS COMERCIAL, POSCOSECHA MUESTRAS, MAURICIO DAVIS, BODEGA CLIENTES, MAURICIO MEDINA, DIFERENCIAS DE INV. P.T., BOG.LOGICA APL, BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BOG.LOGICA COCA-COLA, MPRIMA SOBRE STOCK, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, RECLAMO PROVEEDOR, PRODUCCION, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,0.0,,- Ningún fabricante -,,BASE AGUA,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
12842,CABEZAL TERMICO DATAMAX E-4203,ST-ETIQUETADO,,,,,1900-01-01,Error en procesamiento,0.0,78723.5,0.0,"01, 02, 03, 04, 05, 06, 07, 08, 16, 15, 14, 13, 12, 11, 09, 10, 18, 17, 19, 20, 26, 24, 22, 21, 34, 35, 36, 38, 40, 42, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54","BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, MPRIMA SOBRE STOCK, BOG.LOGICA COCA-COLA, TALLER SERV.TECNICO, SERVICIO TECNICO, TDP STOCK, BOG.LOGICA CyT ESPEJO, BOG.LOGICA CyT VESPUCIO, BOG.LOGICA APL, DIFERENCIAS DE INV. P.T., MAURICIO MEDINA, BODEGA CLIENTES, MAURICIO DAVIS, POSCOSECHA MUESTRAS, OBSOLETOS COMERCIAL, SALDO MATERIAS PRIMAS, SIEGWERK, TINTAS, MP MAQUINA WEBER, BODEGA GESLOG INTEGRAL, CONTAINER, RRHH, ST CONCEPCION, BODEGA DURAMET, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, SINCLAIR STOCK, POSCOSECHA, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, PERU STOCK ENVIO, ST IMPRESORAS Y EQUIPOS, BODEGA ESQUIM, GESLOG PUDAHUEL",0.0,0.0,,- Ningún fabricante -,,Consignacion,UN,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
13735,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,INDUST. BLANCA,,,,,1900-01-01,Error en procesamiento,14.0,0.0,0.0,"54, 53, 52, 51, 50, 49, 48, 46, 45, 44, 42, 40, 38, 36, 35, 34, 21, 22, 24, 26, 20, 19, 17, 18, 10, 09, 11, 12, 13, 14, 15, 16, 08, 07, 06, 05, 04, 03, 02, 01","GESLOG PUDAHUEL, BODEGA ESQUIM, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, POSCOSECHA, SINCLAIR STOCK, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, BODEGA DURAMET, ST CONCEPCION, RRHH, CONTAINER, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, TINTAS, SIEGWERK, SALDO MATERIAS PRIMAS, OBSOLETOS COMERCIAL, POSCOSECHA MUESTRAS, MAURICIO DAVIS, BODEGA CLIENTES, MAURICIO MEDINA, DIFERENCIAS DE INV. P.T., BOG.LOGICA APL, BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BOG.LOGICA COCA-COLA, MPRIMA SOBRE STOCK, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, RECLAMO PROVEEDOR, PRODUCCION, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,0.0,,- Ningún fabricante -,,Consignacion,UNIDAD,,,3150.0,,,2017-04-11,,0.0,0.0,,,,0.0,0.0,0.0,0.0
16279,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,ST-ETIQUETADO,,,,,1900-01-01,Error en procesamiento,0.0,59659.3333,0.0,"01, 02, 03, 04, 05, 06, 07, 08, 16, 15, 14, 13, 12, 11, 09, 10, 18, 17, 19, 20, 26, 24, 22, 21, 34, 35, 36, 38, 40, 42, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54","BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, MPRIMA SOBRE STOCK, BOG.LOGICA COCA-COLA, TALLER SERV.TECNICO, SERVICIO TECNICO, TDP STOCK, BOG.LOGICA CyT ESPEJO, BOG.LOGICA CyT VESPUCIO, BOG.LOGICA APL, DIFERENCIAS DE INV. P.T., MAURICIO MEDINA, BODEGA CLIENTES, MAURICIO DAVIS, POSCOSECHA MUESTRAS, OBSOLETOS COMERCIAL, SALDO MATERIAS PRIMAS, SIEGWERK, TINTAS, MP MAQUINA WEBER, BODEGA GESLOG INTEGRAL, CONTAINER, RRHH, ST CONCEPCION, BODEGA DURAMET, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, SINCLAIR STOCK, POSCOSECHA, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, PERU STOCK ENVIO, ST IMPRESORAS Y EQUIPOS, BODEGA ESQUIM, GESLOG PUDAHUEL",0.0,0.0,,- Ningún fabricante -,,Consignacion,UN,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
16477,G47490 PRINT SERVER EXTERNO ZEBRA,INDUST.IMPRESORA,,,,,1900-01-01,Error en procesamiento,0.0,0.0,0.0,"54, 53, 52, 51, 50, 49, 48, 46, 45, 44, 42, 40, 38, 36, 35, 34, 21, 22, 24, 26, 20, 19, 17, 18, 10, 09, 11, 12, 13, 14, 15, 16, 08, 07, 06, 05, 04, 03, 02, 01","GESLOG PUDAHUEL, BODEGA ESQUIM, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, POSCOSECHA, SINCLAIR STOCK, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, BODEGA DURAMET, ST CONCEPCION, RRHH, CONTAINER, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, TINTAS, SIEGWERK, SALDO MATERIAS PRIMAS, OBSOLETOS COMERCIAL, POSCOSECHA MUESTRAS, MAURICIO DAVIS, BODEGA CLIENTES, MAURICIO MEDINA, DIFERENCIAS DE INV. P.T., BOG.LOGICA APL, BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BOG.LOGICA COCA-COLA, MPRIMA SOBRE STOCK, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, RECLAMO PROVEEDOR, PRODUCCION, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,0.0,,- Ningún fabricante -,,BASE AGUA,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
16781,ROL13-2311-01 RODILLO TRACTOR DATAMAX E-4203,ST-ETIQUETADO,,,,,1900-01-01,Error en procesamiento,0.0,13039.5,0.0,"01, 02, 03, 04, 05, 06, 07, 08, 16, 15, 14, 13, 12, 11, 09, 10, 18, 17, 19, 20, 26, 24, 22, 21, 34, 35, 36, 38, 40, 42, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54","BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, MPRIMA SOBRE STOCK, BOG.LOGICA COCA-COLA, TALLER SERV.TECNICO, SERVICIO TECNICO, TDP STOCK, BOG.LOGICA CyT ESPEJO, BOG.LOGICA CyT VESPUCIO, BOG.LOGICA APL, DIFERENCIAS DE INV. P.T., MAURICIO MEDINA, BODEGA CLIENTES, MAURICIO DAVIS, POSCOSECHA MUESTRAS, OBSOLETOS COMERCIAL, SALDO MATERIAS PRIMAS, SIEGWERK, TINTAS, MP MAQUINA WEBER, BODEGA GESLOG INTEGRAL, CONTAINER, RRHH, ST CONCEPCION, BODEGA DURAMET, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, SINCLAIR STOCK, POSCOSECHA, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, PERU STOCK ENVIO, ST IMPRESORAS Y EQUIPOS, BODEGA ESQUIM, GESLOG PUDAHUEL",0.0,0.0,,- Ningún fabricante -,,Consignacion,UN,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
17169,SERVICIO DE IMPRESION DE ETIQUETAS (no usar),PRIME,,,,,1900-01-01,Error en procesamiento,0.0,0.0,0.0,"54, 53, 52, 51, 50, 49, 48, 46, 45, 44, 42, 40, 38, 36, 35, 34, 21, 22, 24, 26, 20, 19, 17, 18, 10, 09, 11, 12, 13, 14, 15, 16, 08, 07, 06, 05, 04, 03, 02, 01","GESLOG PUDAHUEL, BODEGA ESQUIM, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, POSCOSECHA, SINCLAIR STOCK, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, BODEGA DURAMET, ST CONCEPCION, RRHH, CONTAINER, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, TINTAS, SIEGWERK, SALDO MATERIAS PRIMAS, OBSOLETOS COMERCIAL, POSCOSECHA MUESTRAS, MAURICIO DAVIS, BODEGA CLIENTES, MAURICIO MEDINA, DIFERENCIAS DE INV. P.T., BOG.LOGICA APL, BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BOG.LOGICA COCA-COLA, MPRIMA SOBRE STOCK, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, RECLAMO PROVEEDOR, PRODUCCION, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,0.0,,- Ningún fabricante -,,BASE AGUA,UNIDAD,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
175578,ETIQ.INDUST.B 40 X 58 SEM C3 1S 4.600ETR,INDUST. BLANCA,,,,"6326, 6647",2023-12-04,Error en procesamiento,676.2,855.0444,578181.0,03,PRODUCTOS TERMINADOS,0.0,0.0,,- Ningún fabricante -,STOCK MINIMO,ETIQ. DE LINEA,Miles,3.558032,687.411782,707.0,2024-05-20,,2023-12-19,,,0.0,96950550-C,SIN NOTA DE VENTA,,6200.0,5520.0,0.0,5547.6
175611,ETIQ.INDUST.B 60 X 45 PP C1 2S 6.299ETR,INDUST. BLANCA,,,,13124,2025-03-12,Error en procesamiento,44.1,2717.415,119838.0,03,PRODUCTOS TERMINADOS,0.0,0.0,,- Ningún fabricante -,CONTRATO,CONTRATO,Miles,3.6671,161.71911,258.0,2024-12-31,2025-06-26,2025-03-12,,0.0,0.0,96817680-C,SIN NOTA DE VENTA,,75.6,75.6,0.0,50.4
