Codigo_SAP,Nombre,Cantidad_SAP,UnidadMedida,Categoria,Codigo_Bodega,Nombre_Bodega,Fecha_Ultima_Recepcion
40716,ADHESIVE DEADENER L301 PARAGON (INHIBIDOR DE ADHESIVO),15.0,KILOS,PROD. TINTAS,36,CONTAINER,2026-07-31
42440,TINTA UV REFLEX BLUE UFO5-0021 FLINT,22.0,KG,PROD. TINTAS,21,TINTAS,2026-05-06
43598,TINTA UV RED 032 UFO-30032 FLINT,33.0,KILOS,PROD. TINTAS,21,TINTAS,2026-06-15
44721,TINTA FLEXOCURE FORCE BLUE UFO50072 FLINT,25.5,KILOS,PROD. TINTAS,21,TINTAS,2026-03-17
45263,SOLVENTE MEZCLA 80/20 IPA (ALCOHOL) / (ACETATO)COD.OO,230.0,LITROS,PROD. TINTAS,21,TINTAS,2026-07-28
45783,"HP CLEAN 1188,  COD. Q4337A",2.0,UN,PROD. TINTAS DIGITAL,36,CONTAINER,2016-08-05
45981,BARNIZ UV BRILLANTE UV6663 SIEGWERK,40.0,UN,PROD. TINTAS,21,TINTAS,2026-06-10
46041,TINTA UV 39-6-38307 SILVER BRIGHT 877,24.0,KILOS,PROD. TINTAS,21,TINTAS,2026-07-29
46042,TINTA UV 81-000477-0.3512 SHRINK SEALANT WHITE SR3,12.64,KILOS,PROD. TINTAS,21,TINTAS,2026-07-31
46437,ADHESIVO PARA FOLIA (RVA001550) (3.63 KG) CF308-1G,13.63,KG,PROD. TINTAS,21,TINTAS,2026-01-27
50176,BARNIZ AG,20.0,KILOS,PROD. TINTAS,21,TINTAS,2026-03-13
50871,PRIMER TOP COAT DIGI 680 B1 HP DIGITAL (termo & films) 5KG,7.0,BIDON,PROD. TINTAS DIGITAL,36,CONTAINER,2023-12-12
52267,SOLVENTE ALCOHOL ETILICO,80.0,LTS,PROD. TINTAS,21,TINTAS,2026-05-08
54254,TINTA SOLVENTE AZUL REFLEJO 177556,25.0,KILOS,PROD. TINTAS,21,TINTAS,2026-07-08
54255,TINTA SOLVENTE AMARILLO TRICROMIA 177008,10.0,KILOS,PROD. TINTAS,21,TINTAS,2026-07-08
54256,TINTA SOLVENTE AZUL TRICROMIA 177007,15.0,KILOS,PROD. TINTAS,21,TINTAS,2026-06-10
54257,TINTA SOLVENTE NEGRO TRICROMIA 177418,15.0,KILOS,PROD. TINTAS,21,TINTAS,2026-07-23
54258,TINTA SOLVENTE ROJO TRICROMIA 177010,18.0,KILOS,PROD. TINTAS,21,TINTAS,2026-07-31
54260,BARNIZ REDUCTOR SOLVENTE 171615,18.0,KILOS,PROD. TINTAS,21,TINTAS,2026-07-08
54601,TINTA SOLVENTE VIOLETA 175578,18.0,KILOS,PROD. TINTAS,21,TINTAS,2026-07-23
55581,TINTA SOLVENTE ROJO 485 177617,18.0,KILOS,PROD. TINTAS,21,TINTAS,2026-05-07
55582,TINTA SOLVENTE RODAMINA 177636,13.0,KILOS,PROD. TINTAS,21,TINTAS,2026-02-28
55652,BARNIZ ACUOSO 172867 HUB,15.0,KILOS,PROD. TINTAS,21,TINTAS,2026-02-28
55690,TINTA SOLVENTE WARN RED GF 177733,18.0,KILOS,PROD. TINTAS,21,TINTAS,2026-07-08
