Info;Código;Nombre;Estado;Fecha cotización;Fecha venta.;Fecha Visto bueno;Fecha compromiso;Fecha despacho;Fecha factura;# Factura;Cliente directo;Clasificación c directo;Cliente final;Clasificación c final;Vendedor;Producto;Puntos;Cantidad;Costo papel;Costo impresión + bz;Costo planchas;Costo Servicios;Costo Terminación;Costo directo;Costo general;Costo hora máquina;Costo total;Precio venta;Clase;Des/Inc (%) venta;Des/Inc OT (%);Comisión vendedor (%);Comisión cliente;Unidad;Máquina;Papel;Matrices;Tiraje;Colores;Area Sustrato;Área de impresión;Imposicion;Dimensiones;Cotizado como;#;Servicio;VB cliente por PDF;Barniz;BRC;Costo pieza;Precio pieza;Comentario
Proyecto;10139;130X30 BOPP TRANSPARENTE (SAP 48824), # Ref NV 38350;Facturado;03-01-2022;05-01-2022;19-01-2022;21-01-2022;09-08-2022;09-08-2022;F-0001;EXPONORT LTDA.;-;EXPONORT LTDA.;-;Marco Antonio Palacios Diaz;6 IND BLC INDUSTRIAL BLANCA;-;740000;1864670;-;-;102353;39972;2006995;-;130815;2137810;3922000;A+;10,1;10;-;-;%;-;-;0.0;33880;-;111x2.000;102x266.7;2x3R;30x130;Temas;1;Estandar;No;-;-;-;-;-
Proyecto;10140;ETIQ PRIME CLAM 80x50 MOSCATEL 1LB AGRICOM, # Ref NV 38419;Facturado;03-01-2022;06-01-2022;11-05-2022;-;09-08-2022;09-08-2022;F-0001;SOCIEDAD AGRICOLA Y COMERCIAL LTDA;-;SOCIEDAD AGRICOLA Y COMERCIAL LTDA;-;Sebastian Schon;2 PRM CL PRIME CLAMSHELL;-;100000;162552;98900;-;5166;13224;279842;-;87564;367406;613000;A;0,1;-;-;-;%;-;-;0.0;1810;-;300x2.000;270x664;8x5R;50x80;Temas;1;Estandar;No;-;-;-;-;-
Proyecto;10141;REP GARDEN NV 38194 SAP 54598 ETIQUETA PRIME 176 X 50 PPB AE SMOOTH LAXATIVE 300 GR ME3900 A4 C3 700 ETR 31.500, # Ref NV 38194;Facturado;03-01-2022;03-01-2022;04-01-2022;10-01-2022;09-08-2022;09-08-2022;F-0001;LABORATORIO GARDEN HOUSE FARMACEUTICA S.A;-;LABORATORIO GARDEN HOUSE FARMACEUTICA S.A;-;Ivonne Cecilia Corvalan Leon;4 PRM EF PRIME EASY FLAP;-;31500;280506;63000;-;3642;5852;353000;-;52245;405245;1531845;A+;126,8;126,7;-;-;%;-;-;8.0;1510,16;-;;300x371.48;2x5R;50x176;Temas;1;Estandar;No;-;-;-;-;-
Proyecto;10142;rep.40x58 TERMICO/ SAP 686/ TECNOAPLICADA/ NV 38358/ 240.000 UNID., # Ref NV 38358;Facturado;03-01-2022;03-01-2022;04-01-2022;10-01-2022;09-08-2022;09-08-2022;F-0001;INNOPRINT 1;-;INNOPRINT 1;-;Marco Antonio Palacios Diaz;6 IND BLC INDUSTRIAL BLANCA;-;240000;294214;-;-;15808;7452;317474;-;45885;363359;408000;B;-32,6;-32,8;-;-;%;-;-;0.0;5233;-;;124x254;6x2R;58x40;Temas;1;Estandar;No;-;-;-;-;-
Proyecto;10143;ET TERMO SECRETO 700 FOLIA FULL, # Ref NV 38444;Facturado;03-01-2022;10-01-2022;11-05-2022;-;09-08-2022;09-08-2022;F-0001;INNOPRINT 1;-;INNOPRINT 1;-;Francisco Javier Urzua Ramirez;10 TMC TERMOCONTRAIBLE;-;340000;3298392;1504500;-;2310483;-;10455575;-;1454454;11910029;17520200;B;-11,7;-6,1;-;-;%;-;-;28.0;74410,5;-;280x0;266x387.35;2x1R;262x193,6;Temas;4;Estandar;No;-;-;-;-;-
Proyecto;10144;REP. ETIQUETA INDUSTRIAL 300 x 100 TRANSFER	 , # Ref STOCK MINIMO;Facturado;03-01-2022;03-01-2022;03-01-2022;10-01-2022;09-08-2022;09-08-2022;F-0001;MADERAS ARAUCO S.A.;-;MADERAS ARAUCO S.A.;-;Omar Alejandro Vergara;6 IND BLC INDUSTRIAL BLANCA;-;157440;1974827;-;-;149322;-;2124149;-;176985;2301134;2811879;B;-26,7;-26,7;-;-;%;-;-;0.0;49427,71;-;;104x304.8;1x1R;100x300;Temas;1;Estandar;No;-;-;-;-;-
Proyecto;10145;REP. ETIQUETA INDUSTRIAL 60 x 25 SEMIBRILLO (rollo de 9.548 unid.) (93075) -SAP-44646, # Ref STOCK MINIMO;Facturado;03-01-2022;03-01-2022;03-01-2022;10-01-2022;09-08-2022;09-08-2022;F-0001;INNOPRINT 1;-;INNOPRINT 1;-;Omar Alejandro Vergara;6 IND BLC INDUSTRIAL BLANCA;-;1985984;1434650;-;-;130805;-;1565455;-;158745;1724200;5997672;A+;108,7;108,3;-;-;%;-;-;0.0;43298,66;-;110x2.000;85.5x254;4x3N;60x25;Temas;1;Estandar;No;-;-;-;-;-
Proyecto;10146;REP. ETI. IND. 70 x 15 SB PREPIC. (6mm) CON PREP.DE SEG. EN 4 ESQUINAS (cod. 008030)-SAP-42875, # Ref STOCK MINIMO;Facturado;03-01-2022;03-01-2022;04-01-2022;10-01-2022;09-08-2022;09-08-2022;F-0001;INNOPRINT 1;-;INNOPRINT 1;-;Omar Alejandro Vergara;6 IND BLC INDUSTRIAL BLANCA;-;2738800;2295003;-;-;209250;46024;2550277;-;235980;2786257;4902452;A;5,6;5,3;-;-;%;-;-;0.0;69264,67;-;110x2.000;57x368.3;5x3R;15x70;Temas;1;Estandar;No;-;-;-;-;-
Proyecto;10147;ET 68X100 PREPICADA BLANCA, # Ref NV 38401;Facturado;03-01-2022;04-01-2022;11-05-2022;-;09-08-2022;09-08-2022;F-0001;COMERCIAL GREENVIC S.A.;-;COMERCIAL GREENVIC S.A.;-;Rodrigo Abuter;6 IND BLC INDUSTRIAL BLANCA;-;120000;290784;-;-;26675;10812;328271;-;56430;384701;642000;A;0,1;-;-;-;%;-;-;0.0;8830,5;-;110x2.000;103.4x285.75;4x1R;100x68;Temas;1;Estandar;No;-;-;-;-;-
Proyecto;10148;CLONAR 7987;RechazadoCancela Compra;03-01-2022;-;-;-;-;-;-;AXIS LOGISTICA DE CHILE S.A.;-;AXIS LOGISTICA DE CHILE S.A.;-;Francisco Javier Urzua Ramirez;1 PRM PRIME;-;1000000;1353309;94701;-;41495;60132;1583137;-;166860;1749997;2920000;A;0,1;-;-;-;%;-;-;2.0;15069;-;300x2.000;270x266.7;4x5R;50x63;Temas;1;Estandar;No;1;-;-;-;
