Codigo,Componente,Nombre_Componente
106,39799,LAMINADO 157MM PP PERLADO SAMSON
106,CPS0019,CONSUMO DE LAMINADO
107,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
107,CPS0019,CONSUMO DE LAMINADO
112,39799,LAMINADO 157MM PP PERLADO SAMSON
112,CPS0019,CONSUMO DE LAMINADO
115,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
115,CPS0019,CONSUMO DE LAMINADO
116,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
116,CPS0019,CONSUMO DE LAMINADO
14528,710,LAMINADO 167 WINEGLASS (AUTOMATICO) PT220 ECO
14528,CPS0019,CONSUMO DE LAMINADO
14634,710,LAMINADO 167 WINEGLASS (AUTOMATICO) PT220 ECO
14634,CPS0019,CONSUMO DE LAMINADO
167,39799,LAMINADO 157MM PP PERLADO SAMSON
167,CPS0019,CONSUMO DE LAMINADO
175557,302,LAMINADO 160MM PAPEL BLANCO S.BRILLO 80G/AF1000/LN52M
175557,CPS0019,CONSUMO DE LAMINADO
175566,39799,LAMINADO 157MM PP PERLADO SAMSON
175566,CPS0019,CONSUMO DE LAMINADO
175578,CPS0019,CONSUMO DE LAMINADO
175578,56775,LAMINADO 160MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
175598,CPS0019,CONSUMO DE LAMINADO
175598,46036,LAMINADO 110MM PAPEL SEMIBRILLO L80-PH-G62S (EXACTO) ARP
175599,39799,LAMINADO 157MM PP PERLADO SAMSON
175599,CPS0019,CONSUMO DE LAMINADO
175600,40500,LAMINADO 160MM BOPP  BLACO. 60 UTC RI 707/BL 8065 EXACTO
175600,CPS0019,CONSUMO DE LAMINADO
175603,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
175603,CPS0019,CONSUMO DE LAMINADO
175605,39799,LAMINADO 157MM PP PERLADO SAMSON
175605,CPS0019,CONSUMO DE LAMINADO
175606,39799,LAMINADO 157MM PP PERLADO SAMSON
175606,CPS0019,CONSUMO DE LAMINADO
175611,44626,LAMINADO 110MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
175611,CPS0019,CONSUMO DE LAMINADO
175617,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
175617,CPS0019,CONSUMO DE LAMINADO
175624,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
175624,CPS0019,CONSUMO DE LAMINADO
182,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
182,CPS0019,CONSUMO DE LAMINADO
18391,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
18391,CPS0019,CONSUMO DE LAMINADO
186,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
186,CPS0019,CONSUMO DE LAMINADO
18607,CPS0019,CONSUMO DE LAMINADO
18607,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
18706,39799,LAMINADO 157MM PP PERLADO SAMSON
18706,CPS0019,CONSUMO DE LAMINADO
18707,39799,LAMINADO 157MM PP PERLADO SAMSON
18707,CPS0019,CONSUMO DE LAMINADO
19472,CPS0019,CONSUMO DE LAMINADO
19472,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
19483,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
19483,CPS0019,CONSUMO DE LAMINADO
197,CPS0019,CONSUMO DE LAMINADO
197,56775,LAMINADO 160MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
20112,39799,LAMINADO 157MM PP PERLADO SAMSON
20112,CPS0019,CONSUMO DE LAMINADO
20189,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
20189,CPS0019,CONSUMO DE LAMINADO
20218,43264,LAMINADO 160MM PAPEL SEMIBRILLO 80/P ARC
20218,CPS0019,CONSUMO DE LAMINADO
204,39799,LAMINADO 157MM PP PERLADO SAMSON
204,CPS0019,CONSUMO DE LAMINADO
206,39799,LAMINADO 157MM PP PERLADO SAMSON
206,CPS0019,CONSUMO DE LAMINADO
207,39799,LAMINADO 157MM PP PERLADO SAMSON
207,CPS0019,CONSUMO DE LAMINADO
209,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
209,CPS0019,CONSUMO DE LAMINADO
244,39799,LAMINADO 157MM PP PERLADO SAMSON
244,CPS0019,CONSUMO DE LAMINADO
257,39799,LAMINADO 157MM PP PERLADO SAMSON
257,CPS0019,CONSUMO DE LAMINADO
263,39799,LAMINADO 157MM PP PERLADO SAMSON
263,CPS0019,CONSUMO DE LAMINADO
308,39799,LAMINADO 157MM PP PERLADO SAMSON
308,CPS0019,CONSUMO DE LAMINADO
313,39799,LAMINADO 157MM PP PERLADO SAMSON
313,CPS0019,CONSUMO DE LAMINADO
316235,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316235,CPS0019,CONSUMO DE LAMINADO
316237,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316237,CPS0019,CONSUMO DE LAMINADO
316238,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316238,CPS0019,CONSUMO DE LAMINADO
316239,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316239,CPS0019,CONSUMO DE LAMINADO
316240,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316240,CPS0019,CONSUMO DE LAMINADO
316241,CPS0019,CONSUMO DE LAMINADO
316241,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316242,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316242,CPS0019,CONSUMO DE LAMINADO
316243,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316243,CPS0019,CONSUMO DE LAMINADO
316244,CPS0019,CONSUMO DE LAMINADO
316244,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316245,CPS0019,CONSUMO DE LAMINADO
316245,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316246,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316246,CPS0019,CONSUMO DE LAMINADO
316247,CPS0019,CONSUMO DE LAMINADO
316247,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316248,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316248,CPS0019,CONSUMO DE LAMINADO
316249,CPS0019,CONSUMO DE LAMINADO
316249,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
